	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
189118	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21	O00329	IC50	Homo sapiens	6.301029995663981	500.0	CHEMBL1684984	CHEMBL3130	True
189297	CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL4473276	CHEMBL3130	True
189301	CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.299988937677887	50.12	CHEMBL4444453	CHEMBL3130	True
189305	CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.799970733446231	15.85	CHEMBL4476490	CHEMBL3130	True
189310	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL4464201	CHEMBL3130	True
189314	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.700057099977232	19.95	CHEMBL4456953	CHEMBL3130	True
189318	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.199970640755867	63.1	CHEMBL4579430	CHEMBL3130	True
189322	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.400007822415903	39.81	CHEMBL4581849	CHEMBL3130	True
189326	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.899974269892138	12.59	CHEMBL4467891	CHEMBL3130	True
189330	CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL4451928	CHEMBL3130	True
